+-------------+----------------+-------------+------------+--------------+
|     I_O     | Buffer_Size_KB | Write_Count | Read_Count | Time_Taken_s |
|   AIO_Read  |      512       |      8      |     8      |  0.000293s   |
|    Write    |      640       |      10     |     8      |  0.000675s   |
|     Read    |      512       |      10     |     8      |   7.3e-05s   |
|  AIO_Write  |      640       |      10     |     8      |  0.013528s   |
|   AIO_Read  |      512       |      10     |     8      |  0.012675s   |
|    Write    |      640       |      10     |     10     |  0.000646s   |
|     Read    |      640       |      10     |     10     |   6.7e-05s   |
|  AIO_Write  |      640       |      10     |     10     |  0.024127s   |
|   AIO_Read  |      640       |      10     |     10     |  0.002627s   |
|    Write    |      1024      |      1      |     1      |  0.004317s   |
|     Read    |      1024      |      1      |     1      |  0.000491s   |
|  AIO_Write  |      1024      |      1      |     1      |   0.01961s   |
|   AIO_Read  |      1024      |      1      |     1      |   0.00034s   |
|    Write    |      2048      |      2      |     1      |  0.010445s   |
|     Read    |      1024      |      2      |     1      |  0.000515s   |
|  AIO_Write  |      2048      |      2      |     1      |  0.031481s   |
|   AIO_Read  |      1024      |      2      |     1      |   0.00355s   |
|    Write    |      4096      |      4      |     1      |  0.012641s   |
|     Read    |      1024      |      4      |     1      |   0.00051s   |
|  AIO_Write  |      4096      |      4      |     1      |  0.038188s   |
|   AIO_Read  |      1024      |      4      |     1      |  0.005599s   |
|    Write    |      6144      |      6      |     1      |  0.016345s   |
|     Read    |      1024      |      6      |     1      |  0.000684s   |
|  AIO_Write  |      6144      |      6      |     1      |   0.07394s   |
|   AIO_Read  |      1024      |      6      |     1      |  0.011066s   |
|    Write    |      8192      |      8      |     1      |  0.018362s   |
|     Read    |      1024      |      8      |     1      |   0.00052s   |
|  AIO_Write  |      8192      |      8      |     1      |  0.085864s   |
|   AIO_Read  |      1024      |      8      |     1      |   0.00024s   |
|    Write    |     10240      |      10     |     1      |  0.019529s   |
|     Read    |      1024      |      10     |     1      |  0.004443s   |
|  AIO_Write  |     10240      |      10     |     1      |   0.11336s   |
|   AIO_Read  |      1024      |      10     |     1      |  0.000308s   |
|    Write    |      2048      |      2      |     2      |  0.004878s   |
|     Read    |      2048      |      2      |     2      |  0.000674s   |
|  AIO_Write  |      2048      |      2      |     2      |  0.038407s   |
|   AIO_Read  |      2048      |      2      |     2      |  0.010468s   |
|    Write    |      4096      |      4      |     2      |  0.009986s   |
|     Read    |      2048      |      4      |     2      |  0.000818s   |
|  AIO_Write  |      4096      |      4      |     2      |  0.054044s   |
|   AIO_Read  |      2048      |      4      |     2      |  0.006614s   |
|    Write    |      6144      |      6      |     2      |   0.01831s   |
|     Read    |      2048      |      6      |     2      |  0.000717s   |
