I_O 		Buffer_Size_KB 		Write_Count 		Read_Count 		Time_Taken_s
Write		8192		8		8		0.020509s
Read		8192		8		8		0.001901s
AIO_Write		8192		8		8		0.106413s
AIO_Read		8192		8		8		0.010763s
MMap_Write		8192		8		8		0.026903s
MMap_Read		8192		8		8		0.002208s
UMmap_Write		8192		8		8		0.01012s
UMmap_Read		8192		8		8		0.013404s
Write		10240		10		1		0.019121s
Read		1024		10		1		0.00576s
AIO_Write		10240		10		1		0.116392s
AIO_Read		1024		10		1		0.000346s
MMap_Write		10240		10		1		0.029221s
MMap_Read		1024		10		1		0.002234s
UMmap_Write		10240		10		1		0.010611s
UMmap_Read		1024		10		1		0.009913s
Write		10240		10		2		0.016685s
Read		2048		10		2		0.00066s
AIO_Write		10240		10		2		0.091831s
AIO_Read		2048		10		2		0.001167s
MMap_Write		10240		10		2		0.025428s
MMap_Read		2048		10		2		0.00206s
UMmap_Write		10240		10		2		0.018448s
UMmap_Read		2048		10		2		0.012162s
Write		10240		10		4		0.01392s
Read		4096		10		4		0.001005s
AIO_Write		10240		10		4		0.101524s
AIO_Read		4096		10		4		0.00193s
MMap_Write		10240		10		4		0.020528s
MMap_Read		4096		10		4		0.002344s
UMmap_Write		10240		10		4		0.010593s
UMmap_Read		4096		10		4		0.009612s
Write		10240		10		6		0.009773s
Read		6144		10		6		0.0114s
AIO_Write		10240		10		6		0.108878s
AIO_Read		6144		10		6		0.005612s
MMap_Write		10240		10		6		0.021204s
MMap_Read		6144		10		6		0.002803s
UMmap_Write		10240		10		6		0.013366s
UMmap_Read		6144		10		6		0.009594s
Write		10240		10		8		0.022043s
Read		8192		10		8		0.00222s
AIO_Write		10240		10		8		0.120804s
AIO_Read		8192		10		8		0.023746s
MMap_Write		10240		10		8		0.020028s
MMap_Read		8192		10		8		0.005297s
UMmap_Write		10240		10		8		0.011648s
UMmap_Read		8192		10		8		0.011267s
Write		10240		10		10		0.02221s
Read		10240		10		10		0.002551s
AIO_Write		10240		10		10		0.11376s
AIO_Read		10240		10		10		0.013244s
MMap_Write		10240		10		10		0.019545s
MMap_Read		10240		10		10		0.002499s
UMmap_Write		10240		10		10		0.00825s
UMmap_Read		10240		10		10		0.012175s
Write		8192		1		1		0.071452s
Read		8192		1		1		0.004484s
AIO_Write		8192		1		1		0.085154s
AIO_Read		8192		1		1		0.018619s
MMap_Write		8192		1		1		0.111858s
MMap_Read		8192		1		1		0.017854s
UMmap_Write		8192		1		1		0.061697s
UMmap_Read		8192		1		1		0.067737s
Write		16384		2		1		0.078498s
Read		8192		2		1		0.0075s
AIO_Write		16384		2		1		0.161163s
AIO_Read		8192		2		1		0.02536s
MMap_Write		16384		2		1		0.106399s
MMap_Read		8192		2		1		0.015461s
UMmap_Write		16384		2		1		0.057896s
UMmap_Read		8192		2		1		0.06606s
Write		16384		2		2		0.076646s
Read		16384		2		2		0.026939s
AIO_Write		16384		2		2		0.174419s
AIO_Read		16384		2		2		0.03584s
MMap_Write		16384		2		2		0.128645s
MMap_Read		16384		2		2		0.01738s
UMmap_Write		16384		2		2		0.058563s
UMmap_Read		16384		2		2		0.06006s
Write		32768		4		1		0.101146s
Read		8192		4		1		0.014487s
AIO_Write		32768		4		1		0.356618s
AIO_Read		8192		4		1		0.010761s
MMap_Write		32768		4		1		0.121068s
MMap_Read		8192		4		1		0.016946s
UMmap_Write		32768		4		1		0.055251s
UMmap_Read		8192		4		1		0.064679s
Write		32768		4		2		0.098047s
Read		16384		4		2		0.017552s
AIO_Write		32768		4		2		0.279091s
AIO_Read		16384		4		2		0.036786s
MMap_Write		32768		4		2		0.12383s
MMap_Read		16384		4		2		0.020533s
UMmap_Write		32768		4		2		0.068037s
UMmap_Read		16384		4		2		0.070728s
Write		32768		4		4		0.097512s
Read		32768		4		4		0.021732s
AIO_Write		32768		4		4		0.244742s
AIO_Read		32768		4		4		0.082989s
MMap_Write		32768		4		4		0.130327s
MMap_Read		32768		4		4		0.01723s
UMmap_Write		32768		4		4		0.064879s
UMmap_Read		32768		4		4		0.072446s
