I_O ,Buffer_Size_KB ,Write_Count ,Read_Count ,Time_Taken_s
MMap_Read,64,1,1,0.000237s
MMap_Write,128,2,1,0.003851s
MMap_Read,64,2,1,0.00024s
MMap_Write,256,4,1,0.006131s
MMap_Read,64,4,1,0.000165s
MMap_Write,384,6,1,0.006487s
MMap_Read,64,6,1,0.00017s
MMap_Write,512,8,1,0.008706s
MMap_Read,64,8,1,0.00017s
MMap_Write,640,10,1,0.009976s
MMap_Read,64,10,1,0.000167s
MMap_Write,128,2,2,0.005541s
MMap_Read,128,2,2,0.000225s
MMap_Write,256,4,2,0.004672s
MMap_Read,128,4,2,0.000203s
MMap_Write,384,6,2,0.006335s
MMap_Read,128,6,2,0.000226s
MMap_Write,512,8,2,0.004684s
MMap_Read,128,8,2,0.000187s
MMap_Write,640,10,2,0.006004s
MMap_Read,128,10,2,0.000165s
MMap_Write,256,4,4,0.00685s
MMap_Read,256,4,4,0.00018s
MMap_Write,384,6,4,0.005829s
MMap_Read,256,6,4,0.000175s
MMap_Write,512,8,4,0.003787s
MMap_Read,256,8,4,0.000449s
MMap_Write,640,10,4,0.004932s
MMap_Read,256,10,4,0.000183s
MMap_Write,384,6,6,0.00632s
MMap_Read,384,6,6,0.000195s
MMap_Write,512,8,6,0.003457s
MMap_Read,384,8,6,0.000188s
MMap_Write,640,10,6,0.007116s
MMap_Read,384,10,6,0.000326s
MMap_Write,512,8,8,0.009096s
MMap_Read,512,8,8,0.000204s
MMap_Write,640,10,8,0.007535s
MMap_Read,512,10,8,0.000258s
MMap_Write,640,10,10,0.006497s
MMap_Read,640,10,10,0.000287s
MMap_Write,1024,1,1,0.019194s
MMap_Read,1024,1,1,0.001244s
MMap_Write,2048,2,1,0.022992s
MMap_Read,1024,2,1,0.00141s
MMap_Write,4096,4,1,0.022591s
MMap_Read,1024,4,1,0.001208s
MMap_Write,6144,6,1,0.021983s
MMap_Read,1024,6,1,0.00134s
MMap_Write,8192,8,1,0.020093s
MMap_Read,1024,8,1,0.00119s
MMap_Write,10240,10,1,0.02333s
MMap_Read,1024,10,1,0.001357s
MMap_Write,2048,2,2,0.021967s
MMap_Read,2048,2,2,0.001551s
MMap_Write,4096,4,2,0.022074s
MMap_Read,2048,4,2,0.001565s
MMap_Write,6144,6,2,0.01899s
MMap_Read,2048,6,2,0.001494s
MMap_Write,8192,8,2,0.018367s
MMap_Read,2048,8,2,0.001324s
MMap_Write,10240,10,2,0.020095s
MMap_Read,2048,10,2,0.001444s
MMap_Write,4096,4,4,0.019921s
MMap_Read,4096,4,4,0.00216s
MMap_Write,6144,6,4,0.01684s
MMap_Read,4096,6,4,0.001511s
MMap_Write,8192,8,4,0.020192s
MMap_Read,4096,8,4,0.001492s
MMap_Write,10240,10,4,0.020799s
MMap_Read,4096,10,4,0.00155s
MMap_Write,6144,6,6,0.01953s
MMap_Read,6144,6,6,0.001849s
MMap_Write,8192,8,6,0.024705s
MMap_Read,6144,8,6,0.001581s
MMap_Write,10240,10,6,0.020069s
MMap_Read,6144,10,6,0.002735s
MMap_Write,8192,8,8,0.022912s
MMap_Read,8192,8,8,0.001992s
MMap_Write,10240,10,8,0.018741s
MMap_Read,8192,10,8,0.002034s
MMap_Write,10240,10,10,0.018521s
MMap_Read,10240,10,10,0.002077s
MMap_Write,8192,1,1,0.110076s
MMap_Read,8192,1,1,0.014165s
MMap_Write,16384,2,1,0.123325s
MMap_Read,8192,2,1,0.015511s
MMap_Write,32768,4,1,0.121262s
MMap_Read,8192,4,1,0.015846s
MMap_Write,49152,6,1,0.123242s
MMap_Read,8192,6,1,0.008152s
MMap_Write,65536,8,1,0.142622s
MMap_Read,8192,8,1,0.017271s
MMap_Write,81920,10,1,0.138732s
MMap_Read,8192,10,1,0.018008s
MMap_Write,16384,2,2,0.122162s
MMap_Read,16384,2,2,0.015216s
MMap_Write,32768,4,2,0.126502s
MMap_Read,16384,4,2,0.016929s
MMap_Write,49152,6,2,0.132315s
MMap_Read,16384,6,2,0.02181s
MMap_Write,65536,8,2,0.141116s
MMap_Read,16384,8,2,0.023327s
MMap_Write,81920,10,2,0.134817s
MMap_Read,16384,10,2,0.017867s
MMap_Write,32768,4,4,0.123716s
MMap_Read,32768,4,4,0.029151s
MMap_Write,49152,6,4,0.135182s
MMap_Read,32768,6,4,0.025142s
MMap_Write,65536,8,4,0.136944s
MMap_Read,32768,8,4,0.016662s
MMap_Write,81920,10,4,0.148469s
MMap_Read,32768,10,4,0.025201s
MMap_Write,49152,6,6,0.13354s
MMap_Read,49152,6,6,0.027175s
MMap_Write,65536,8,6,0.124718s
MMap_Read,49152,8,6,0.034658s
MMap_Write,81920,10,6,0.145234s
MMap_Read,49152,10,6,0.025507s
MMap_Write,65536,8,8,0.12972s
MMap_Read,65536,8,8,0.027421s
MMap_Write,81920,10,8,0.137104s
MMap_Read,65536,10,8,0.033408s
MMap_Write,81920,10,10,0.136942s
MMap_Read,81920,10,10,0.028976s
MMap_Write,16384,1,1,0.215627s
MMap_Read,16384,1,1,0.029455s
MMap_Write,32768,2,1,0.222156s
MMap_Read,16384,2,1,0.028811s
MMap_Write,65536,4,1,0.236944s
MMap_Read,16384,4,1,0.033477s
MMap_Write,98304,6,1,0.320384s
MMap_Read,16384,6,1,0.030027s
MMap_Write,131072,8,1,0.247716s
MMap_Read,16384,8,1,0.029547s
MMap_Write,163840,10,1,0.253615s
MMap_Read,16384,10,1,0.036525s
MMap_Write,32768,2,2,0.235163s
MMap_Read,32768,2,2,0.035005s
MMap_Write,65536,4,2,0.252514s
MMap_Read,32768,4,2,0.03598s
MMap_Write,98304,6,2,0.242063s
MMap_Read,32768,6,2,0.030599s
MMap_Write,131072,8,2,0.231313s
MMap_Read,32768,8,2,0.04184s
MMap_Write,163840,10,2,0.252653s
MMap_Read,32768,10,2,0.037453s
MMap_Write,65536,4,4,0.220443s
MMap_Read,65536,4,4,0.040781s
MMap_Write,98304,6,4,0.241675s
MMap_Read,65536,6,4,0.049298s
MMap_Write,131072,8,4,0.253401s
MMap_Read,65536,8,4,0.045669s
MMap_Write,163840,10,4,0.258545s
MMap_Read,65536,10,4,0.041986s
MMap_Write,98304,6,6,0.248683s
MMap_Read,98304,6,6,0.046556s
MMap_Write,131072,8,6,0.256122s
MMap_Read,98304,8,6,0.052606s
MMap_Write,163840,10,6,0.269644s
