I_O 		File_Size_MB		Buffer_size_MB 		Write_Count 		Read_Count 		Time_Taken_s
AIO_Read		60m		20m		3		10		0.178045s
MMap_Write		60m		20m		3		10		0.299538s
MMap_Read		60m		20m		3		10		0.692096s
UMmap_Write		60m		20m		3		10		0.318219s
UMmap_Read		60m		20m		3		10		1.11799s
Write		60m		20m		0		15		0.316897s
Write		60m		20m		1		15		0.318806s
Write		60m		20m		2		15		0.322587s
Total_Write		60m		20m		3		15		0.31943s
Read		60m		20m		3		0		0.323752s
Read		60m		20m		3		1		0.28331s
Read		60m		20m		3		2		0.285988s
Read		60m		20m		3		3		0.237521s
Read		60m		20m		3		4		0.232106s
Read		60m		20m		3		5		0.218341s
Read		60m		20m		3		6		0.224497s
Read		60m		20m		3		7		0.138706s
Read		60m		20m		3		8		0.121643s
Read		60m		20m		3		9		0.119308s
Read		60m		20m		3		10		0.153903s
Read		60m		20m		3		11		0.234578s
Read		60m		20m		3		12		0.228682s
Read		60m		20m		3		13		0.232163s
Read		60m		20m		3		14		0.233243s
Total_Read		300m		20m		3		15		0.217849s
AIO_Write		60m		20m		3		15		0.323724s
AIO_Read		60m		20m		3		15		0.181719s
MMap_Write		60m		20m		3		15		0.288139s
MMap_Read		60m		20m		3		15		1.03127s
UMmap_Write		60m		20m		3		15		0.442987s
UMmap_Read		60m		20m		3		15		1.44365s
Write		40m		40m		0		5		0.365377s
Total_Write		40m		40m		1		5		0.365377s
Read		40m		40m		1		0		0.433185s
Read		40m		40m		1		1		0.2319s
Read		40m		40m		1		2		0.19956s
Read		40m		40m		1		3		0.234067s
Read		40m		40m		1		4		0.231007s
Total_Read		200m		40m		1		5		0.265944s
AIO_Write		40m		40m		1		5		0.36467s
AIO_Read		40m		40m		1		5		0.127205s
MMap_Write		40m		40m		1		5		0.298606s
MMap_Read		40m		40m		1		5		0.717581s
UMmap_Write		40m		40m		1		5		0.276739s
UMmap_Read		40m		40m		1		5		1.07012s
Write		40m		40m		0		10		0.393488s
Total_Write		40m		40m		1		10		0.393488s
Read		40m		40m		1		0		0.407441s
Read		40m		40m		1		1		0.266623s
Read		40m		40m		1		2		0.236593s
Read		40m		40m		1		3		0.259716s
Read		40m		40m		1		4		0.228637s
Read		40m		40m		1		5		0.17377s
Read		40m		40m		1		6		0.230388s
Read		40m		40m		1		7		0.214215s
Read		40m		40m		1		8		0.231607s
Read		40m		40m		1		9		0.227462s
Total_Read		400m		40m		1		10		0.247645s
AIO_Write		40m		40m		1		10		0.215912s
AIO_Read		40m		40m		1		10		0.133856s
MMap_Write		40m		40m		1		10		0.295788s
MMap_Read		40m		40m		1		10		1.58265s
UMmap_Write		40m		40m		1		10		0.191286s
UMmap_Read		40m		40m		1		10		1.90494s
Write		40m		40m		0		15		0.385088s
Total_Write		40m		40m		1		15		0.385088s
Read		40m		40m		1		0		0.451041s
Read		40m		40m		1		1		0.236333s
Read		40m		40m		1		2		0.215826s
Read		40m		40m		1		3		0.176208s
Read		40m		40m		1		4		0.11847s
Read		40m		40m		1		5		0.142145s
Read		40m		40m		1		6		0.129937s
Read		40m		40m		1		7		0.139652s
Read		40m		40m		1		8		0.225634s
Read		40m		40m		1		9		0.237091s
Read		40m		40m		1		10		0.234543s
Read		40m		40m		1		11		0.230609s
Read		40m		40m		1		12		0.234492s
Read		40m		40m		1		13		0.232672s
Read		40m		40m		1		14		0.236857s
Total_Read		600m		40m		1		15		0.216101s
AIO_Write		40m		40m		1		15		0.221345s
AIO_Read		40m		40m		1		15		0.131724s
MMap_Write		40m		40m		1		15		0.321102s
MMap_Read		40m		40m		1		15		2.73796s
UMmap_Write		40m		40m		1		15		0.172351s
UMmap_Read		40m		40m		1		15		3.45711s
Write		80m		40m		0		5		0.657286s
Write		80m		40m		1		5		0.531159s
Total_Write		80m		40m		2		5		0.594223s
Read		80m		40m		2		0		0.572111s
Read		80m		40m		2		1		0.573702s
Read		80m		40m		2		2		0.464085s
Read		80m		40m		2		3		0.425482s
Read		80m		40m		2		4		0.365416s
Total_Read		200m		40m		2		5		0.480159s
AIO_Write		80m		40m		2		5		0.912725s
AIO_Read		80m		40m		2		5		0.440177s
MMap_Write		80m		40m		2		5		1.00204s
MMap_Read		80m		40m		2		5		0.772235s
UMmap_Write		80m		40m		2		5		0.490237s
UMmap_Read		80m		40m		2		5		0.999574s
Write		80m		40m		0		10		0.413811s
Write		80m		40m		1		10		0.358511s
Total_Write		80m		40m		2		10		0.386161s
Read		80m		40m		2		0		0.298439s
Read		80m		40m		2		1		0.359688s
Read		80m		40m		2		2		0.229954s
Read		80m		40m		2		3		0.221399s
Read		80m		40m		2		4		0.209714s
Read		80m		40m		2		5		0.226092s
Read		80m		40m		2		6		0.235418s
Read		80m		40m		2		7		0.229585s
Read		80m		40m		2		8		0.232731s
Read		80m		40m		2		9		0.227597s
Total_Read		400m		40m		2		10		0.247062s
AIO_Write		80m		40m		2		10		0.463483s
AIO_Read		80m		40m		2		10		0.234795s
MMap_Write		80m		40m		2		10		0.445415s
MMap_Read		80m		40m		2		10		2.13073s
UMmap_Write		80m		40m		2		10		0.344918s
UMmap_Read		80m		40m		2		10		2.12157s
Write		80m		40m		0		15		0.410511s
Write		80m		40m		1		15		0.375121s
Total_Write		80m		40m		2		15		0.392816s
Read		80m		40m		2		0		0.347386s
Read		80m		40m		2		1		0.40185s
Read		80m		40m		2		2		0.218058s
Read		80m		40m		2		3		0.150176s
Read		80m		40m		2		4		0.186031s
Read		80m		40m		2		5		0.159969s
Read		80m		40m		2		6		0.229333s
Read		80m		40m		2		7		0.227768s
Read		80m		40m		2		8		0.232802s
Read		80m		40m		2		9		0.197769s
Read		80m		40m		2		10		0.233051s
Read		80m		40m		2		11		0.233056s
Read		80m		40m		2		12		0.2504s
Read		80m		40m		2		13		0.225838s
Read		80m		40m		2		14		0.229554s
Total_Read		600m		40m		2		15		0.234869s
AIO_Write		80m		40m		2		15		0.48133s
AIO_Read		80m		40m		2		15		0.28177s
MMap_Write		80m		40m		2		15		0.517391s
MMap_Read		80m		40m		2		15		2.60998s
UMmap_Write		80m		40m		2		15		0.358311s
UMmap_Read		80m		40m		2		15		3.62363s
Write		120m		40m		0		5		0.487821s
Write		120m		40m		1		5		0.61805s
Write		120m		40m		2		5		0.652989s
Total_Write		120m		40m		3		5		0.586287s
Read		120m		40m		3		0		0.636067s
Read		120m		40m		3		1		0.608471s
Read		120m		40m		3		2		0.539144s
Read		120m		40m		3		3		0.404958s
Read		120m		40m		3		4		0.438136s
Total_Read		200m		40m		3		5		0.525355s
AIO_Write		120m		40m		3		5		1.56949s
AIO_Read		120m		40m		3		5		0.344934s
MMap_Write		120m		40m		3		5		0.742663s
MMap_Read		120m		40m		3		5		0.73465s
UMmap_Write		120m		40m		3		5		0.809965s
UMmap_Read		120m		40m		3		5		1.20011s
Write		120m		40m		0		10		0.411948s
Write		120m		40m		1		10		0.443282s
Write		120m		40m		2		10		0.434724s
Total_Write		120m		40m		3		10		0.429985s
Read		120m		40m		3		0		0.334022s
Read		120m		40m		3		1		0.347523s
Read		120m		40m		3		2		0.355845s
Read		120m		40m		3		3		0.221126s
Read		120m		40m		3		4		0.215712s
Read		120m		40m		3		5		0.239505s
Read		120m		40m		3		6		0.125101s
Read		120m		40m		3		7		0.117765s
Read		120m		40m		3		8		0.137848s
Read		120m		40m		3		9		0.137084s
Total_Read		400m		40m		3		10		0.223153s
AIO_Write		120m		40m		3		10		0.754706s
AIO_Read		120m		40m		3		10		0.329341s
MMap_Write		120m		40m		3		10		0.595004s
MMap_Read		120m		40m		3		10		1.59597s
UMmap_Write		120m		40m		3		10		0.569658s
UMmap_Read		120m		40m		3		10		1.97667s
Write		120m		40m		0		15		0.398498s
Write		120m		40m		1		15		0.343452s
Write		120m		40m		2		15		0.404038s
Total_Write		120m		40m		3		15		0.381996s
Read		120m		40m		3		0		0.370029s
Read		120m		40m		3		1		0.311545s
Read		120m		40m		3		2		0.257401s
Read		120m		40m		3		3		0.167324s
Read		120m		40m		3		4		0.244691s
Read		120m		40m		3		5		0.225392s
Read		120m		40m		3		6		0.236749s
Read		120m		40m		3		7		0.228145s
Read		120m		40m		3		8		0.233801s
Read		120m		40m		3		9		0.232923s
Read		120m		40m		3		10		0.209068s
Read		120m		40m		3		11		0.225873s
Read		120m		40m		3		12		0.226991s
Read		120m		40m		3		13		0.2341s
Read		120m		40m		3		14		0.238509s
Total_Read		600m		40m		3		15		0.242836s
AIO_Write		120m		40m		3		15		0.757195s
AIO_Read		120m		40m		3		15		0.34595s
MMap_Write		120m		40m		3		15		0.743646s
MMap_Read		120m		40m		3		15		2.69013s
UMmap_Write		120m		40m		3		15		0.479037s
UMmap_Read		120m		40m		3		15		3.8137s
Write		60m		60m		0		5		0.775622s
Total_Write		60m		60m		1		5		0.775622s
Read		60m		60m		1		0		0.778649s
Read		60m		60m		1		1		0.242845s
Read		60m		60m		1		2		0.280073s
Read		60m		60m		1		3		0.258511s
Read		60m		60m		1		4		0.258553s
Total_Read		300m		60m		1		5		0.363726s
AIO_Write		60m		60m		1		5		0.680811s
AIO_Read		60m		60m		1		5		0.410672s
MMap_Write		60m		60m		1		5		1.31436s
MMap_Read		60m		60m		1		5		1.90783s
UMmap_Write		60m		60m		1		5		0.466531s
UMmap_Read		60m		60m		1		5		1.45047s
Write		60m		60m		0		10		0.416182s
Total_Write		60m		60m		1		10		0.416182s
Read		60m		60m		1		0		0.400762s
Read		60m		60m		1		1		0.2599s
Read		60m		60m		1		2		0.195177s
Read		60m		60m		1		3		0.218388s
Read		60m		60m		1		4		0.239913s
Read		60m		60m		1		5		0.211829s
Read		60m		60m		1		6		0.213237s
Read		60m		60m		1		7		0.201871s
Read		60m		60m		1		8		0.136043s
Read		60m		60m		1		9		0.124102s
Total_Read		600m		60m		1		10		0.220122s
AIO_Write		60m		60m		1		10		0.337023s
AIO_Read		60m		60m		1		10		0.18397s
MMap_Write		60m		60m		1		10		0.525297s
MMap_Read		60m		60m		1		10		3.19422s
UMmap_Write		60m		60m		1		10		0.423883s
UMmap_Read		60m		60m		1		10		3.69977s
